,Latitude,City Name,Temp,Humidity,Wind Speed,Cloudiness
0,-33.93,cape town,55.4,58,21.92,0
1,-13.28,sao miguel do araguaia,75.68,84,2.73,8
2,20.93,nouadhibou,71.6,73,9.17,88
3,59.7,nikolskoye,41.0,93,6.71,75
4,65.96,kuusamo,26.6,86,5.82,0
5,-33.64,busselton,63.44,94,20.51,48
6,-20.21,quatre cocos,68.0,82,5.97,40
7,56.15,tinskoy,42.47,57,5.75,24
8,41.42,saldanha,44.36,70,5.53,0
9,49.72,geraldton,44.6,87,8.05,90
10,72.79,upernavik,29.06,100,10.22,0
11,-9.8,atuona,78.11,100,11.34,92
12,-30.17,cidreira,61.28,100,11.34,92
13,-33.02,east london,62.81,100,29.35,92
14,15.34,vaini,73.52,98,3.18,48
15,-23.58,bluff,82.34,30,8.66,0
16,48.84,normandin,46.4,75,6.93,90
17,-41.05,burnie,58.04,89,15.37,0
18,17.48,guhagar,79.55,100,2.73,92
19,-0.39,san cristobal,53.6,81,3.36,40
20,5.28,victoria,79.54,88,6.93,75
21,45.32,beyneu,47.24,82,3.4,0
22,49.25,lewisporte,35.6,74,5.82,5
23,66.83,yar-sale,34.91,100,6.76,24
24,-42.88,hobart,55.4,58,25.28,40
25,-46.19,mataura,54.98,69,15.82,0
26,62.78,sola,32.0,100,1.12,75
27,-34.53,bredasdorp,44.6,81,2.24,80
28,-29.08,tupancireta,58.94,97,13.47,48
29,-31.91,taree,77.0,44,6.93,0
30,22.89,cabo san lucas,79.83,88,4.7,40
31,48.39,senneterre,46.4,81,4.7,90
32,38.72,yuanping,61.91,38,3.06,0
33,-13.74,matara,38.06,86,1.95,0
34,53.4,hinton,24.83,74,2.73,88
35,65.85,mezen,43.55,98,6.08,92
36,64.42,provideniya,50.0,93,17.9,90
37,71.03,mehamn,39.2,64,14.99,75
38,-20.34,bambous virieux,68.0,82,5.97,40
39,22.08,kapaa,82.54,71,6.93,40
40,37.63,cartagena,60.8,87,3.36,0
41,68.22,aklavik,32.0,86,6.93,40
42,73.51,dikson,37.88,100,22.41,32
43,-33.21,jamestown,63.89,66,11.01,76
44,40.82,proti,41.66,92,1.72,0
45,67.67,sorland,39.2,80,6.93,40
46,61.99,paamiut,37.97,97,8.21,80
47,68.75,cherskiy,44.36,69,2.39,44
48,47.88,concarneau,55.4,93,3.36,90
49,36.17,damghan,61.19,53,1.95,44
50,42.9,preobrazheniye,61.01,53,3.74,0
51,45.36,saint-philippe,50.16,100,8.77,90
52,60.79,bethel,50.0,92,11.41,90
53,39.42,chara,57.2,82,4.7,0
54,-53.16,punta arenas,39.2,80,21.92,20
55,26.46,yongzhou,75.59,51,7.76,0
56,-2.57,kavieng,85.04,100,1.39,56
57,-32.25,dubbo,73.4,31,13.87,92
58,34.75,yima,71.54,39,3.85,0
59,-46.13,tuatapere,51.29,89,17.83,0
60,-54.81,ushuaia,33.8,100,6.93,75
61,-23.12,rikitea,67.58,100,19.84,100
62,-30.97,carnarvon,41.66,80,17.16,0
63,77.48,qaanaaq,22.58,100,7.54,24
64,-8.65,denpasar,84.2,74,14.99,20
65,-0.74,puerto ayora,71.0,100,10.56,8
66,44.98,derventa,39.2,100,3.36,75
67,-42.78,new norfolk,55.4,58,25.28,40
68,5.43,naze,72.89,98,3.18,88
69,11.0,dingle,84.95,81,3.85,24
70,36.97,santa cruz,67.77,80,6.93,75
71,42.65,albany,60.82,89,12.75,90
72,-33.59,port alfred,59.57,99,16.49,88
73,58.81,fort nelson,41.0,41,3.36,75
74,27.52,laguna,82.4,69,4.7,5
75,19.61,jiazi,84.2,66,13.42,40
76,-2.6,humberto de campos,79.55,92,17.49,0
77,26.58,guiyang,59.0,82,6.71,90
78,1.74,sibolga,77.84,88,1.95,48
79,63.75,iqaluit,30.2,92,17.22,90
80,-42.48,castro,43.82,86,4.97,80
81,71.98,khatanga,32.21,100,6.31,80
82,-30.33,narrabri,77.48,41,8.43,48
83,-3.66,namatanai,86.39,90,2.28,0
84,-0.6,hithadhoo,80.36,100,21.18,76
85,27.97,guerrero negro,67.13,98,2.17,8
86,5.56,banda aceh,81.44,94,2.73,0
87,43.47,waterloo,52.72,93,6.93,90
88,69.44,tuktoyaktuk,23.0,92,12.75,90
89,-34.42,hermanus,49.85,85,6.42,36
90,39.31,port elizabeth,74.14,84,9.17,75
91,68.06,bilibino,34.91,87,3.06,0
92,70.47,clyde river,21.2,92,5.82,90
93,63.84,grindavik,36.32,64,3.36,0
94,-2.02,lorengau,85.4,97,4.41,36
95,-28.65,byron bay,73.4,49,11.41,0
96,47.08,schruns,42.19,81,2.24,90
97,49.87,bow island,30.2,92,10.29,90
98,34.18,plainview,72.52,71,11.41,1
99,46.68,baruun-urt,60.29,34,13.35,0
100,15.17,sayyan,43.01,54,3.29,0
101,20.71,ixtapa,84.2,83,4.7,40
102,-22.12,henties bay,59.66,88,3.62,100
